,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
0,8,4,19329,1,6,4,7,3,2,1,39,39,0
1,21,4,4212,11,8,2,5,0,4,1,49,39,0
2,11,2,25340,7,11,2,11,0,4,1,39,39,1
3,27,4,11201,15,9,2,7,0,2,1,39,39,1
4,1,0,5411,15,9,4,0,3,4,0,29,39,0
5,17,4,16434,0,5,4,8,1,4,1,29,39,0
6,12,0,19356,11,8,4,0,4,2,1,39,39,0
7,46,6,5538,14,14,2,10,0,4,1,31,39,1
8,7,4,26412,15,9,4,8,4,4,0,39,39,0
9,38,4,5578,5,3,2,3,0,4,1,9,39,0
10,48,4,14411,11,8,2,7,0,4,1,39,39,1
11,19,1,18028,9,12,2,1,0,4,1,39,39,0
12,9,4,3714,11,8,4,1,1,4,0,38,39,0
13,41,0,23874,11,8,2,0,0,4,1,34,39,0
14,31,4,22898,11,8,2,7,0,4,1,47,39,1
15,26,4,25715,12,13,2,4,0,4,1,49,39,1
16,3,7,27688,15,9,4,8,3,4,1,24,39,0
17,26,4,8081,11,8,2,1,5,4,0,29,39,0
18,20,4,2608,11,8,6,7,4,4,0,19,39,0
19,23,4,3908,10,15,2,10,0,1,1,44,0,1
20,17,4,5898,9,12,2,13,0,4,1,46,39,1
21,17,4,20322,15,9,4,8,3,2,0,34,39,0
22,55,0,8408,5,3,0,0,1,4,0,5,39,0
23,8,4,18838,9,12,4,10,1,4,1,42,29,0
24,8,4,17346,9,12,2,10,0,4,1,39,39,0
25,28,6,27564,11,8,2,3,0,4,1,87,39,1
26,5,4,20140,11,8,4,1,3,4,1,19,39,0
27,6,4,8634,11,8,5,7,4,2,1,53,39,0
28,37,4,5003,11,8,2,3,0,4,1,34,39,0
29,15,6,6053,15,9,4,10,1,4,1,59,39,0
30,29,7,5729,15,9,2,4,0,2,1,37,39,1
31,39,6,14717,1,6,6,8,4,4,0,49,39,0
32,7,6,14973,9,12,4,12,1,4,1,49,39,0
33,6,2,21640,15,9,2,11,0,4,1,39,39,0
34,9,4,1538,11,8,0,4,4,4,0,39,39,0
35,48,0,15480,11,8,2,0,0,4,1,39,39,0
36,19,2,27148,9,12,2,10,0,4,1,39,39,1
37,5,4,21021,4,2,4,9,1,4,1,49,13,0
38,0,4,22325,0,5,4,7,1,4,1,39,39,0
39,3,4,21596,11,8,4,3,3,4,1,39,39,0
40,48,4,8800,12,13,2,10,0,4,1,49,39,1
41,27,5,7311,8,10,2,12,0,4,1,44,39,1
42,19,4,27866,11,8,2,5,0,4,1,39,39,0
43,12,4,5430,1,6,2,8,0,4,1,39,39,0
44,3,7,8997,15,9,4,5,3,4,1,31,39,0
45,11,4,20628,8,10,2,10,5,4,0,35,39,1
46,22,4,23430,5,3,2,3,0,4,1,39,26,0
47,37,4,14662,15,9,2,14,0,4,1,49,39,0
48,35,4,16756,1,6,5,9,1,2,0,17,39,0
49,39,5,8401,11,8,6,4,1,4,0,49,39,0
50,1,4,2264,15,9,4,8,3,4,1,19,39,0
51,22,4,22927,11,8,0,6,3,2,1,39,39,0
52,4,4,18228,15,9,4,8,3,4,0,23,39,0
53,5,4,2241,11,8,4,8,1,4,1,59,39,1
